date,visitors_total,yoy_rate,yoy_diff,usd_jpy,cny_jpy
2015-04-01,1764691,,,119.50954545454546,19.272643772396112
2015-05-01,1641734,,,120.82904761904761,19.478737398270987
2015-06-01,1602198,,,123.71863636363636,19.937933515235105
2015-07-01,1918356,,,123.30347826086957,19.861148254925794
2015-08-01,1817023,,,123.00380952380952,19.412125882262792
2015-09-01,1612208,,,120.09772727272728,18.8624323146325
2015-10-01,1829265,,,120.05954545454546,18.906313631522313
2015-11-01,1647550,,,122.67333333333333,19.273168546842275
2015-12-01,1773130,,,121.57782608695652,18.849883824171844
2016-01-01,1851895,,,118.25428571428571,18.003541215419737
2016-02-01,1891375,,,114.53666666666666,17.483119640134152
2016-03-01,2009550,,,112.93173913043478,17.36684385807624
2016-04-01,2081697,0.17963824828256048,317006.0,109.55190476190477,16.917871014212405
2016-05-01,1893574,0.15339878445594723,251840.0,108.8940909090909,16.681890575160548
2016-06-01,1985722,0.2393736604339789,383524.0,105.35090909090908,15.989756353772036
2016-07-01,2296451,0.19709324025363384,378095.0,104.11285714285714,15.594986935353585
2016-08-01,2049234,0.12779750173773263,232211.0,101.23826086956522,15.231526865976424
2016-09-01,1918246,0.18982538233280066,306038.0,101.89318181818182,15.274948118462648
2016-10-01,2135904,0.16762962173331908,306639.0,103.88428571428572,15.442089100611687
2016-11-01,1875404,0.13829868592758943,227854.0,108.54545454545455,15.861565783736781
2016-12-01,2050648,0.156513058828174,277518.0,116.05363636363636,16.76815787777301
2017-01-01,2295668,0.23963183657820775,443773.0,114.98545454545454,16.682535252988338
2017-02-01,2035771,0.07634445839666903,144396.0,112.90899999999999,16.437111919795438
2017-03-01,2205664,0.09759100296086198,196114.0,112.91652173913043,16.378678536481427
2017-04-01,2578970,0.23887866485852638,497273.0,110.09100000000001,15.983972490439854
2017-05-01,2294717,0.2118443747115244,401143.0,112.20260869565217,16.301422719741744
2017-06-01,2346442,0.1816568482395824,360720.0,110.91409090909092,16.295173454312362
2017-07-01,2681518,0.16767917103391272,385067.0,112.46,16.60920579613974
2017-08-01,2477428,0.2089531990978093,428194.0,109.82695652173913,16.473518953188783
