,,,,,,,,,,,
　国籍･地域（21区分）別　費目別購入率および購入者単価,,,,,,,,,,,
,,,,,,,,,,,
2022年（令和4年）  暦年　【試算値】,,,,,,（単位）回答数：人、購入率：％、購入者単価：円／人,,,,,
調査項目,,,韓国,中国,東南アジア,ヨーロッパ,北米,,,,
,,,購入率,購入率,購入率,購入率,購入率,,,,
,,その他食料品・飲料・たばこ,"8,075","22,463","14,211","15,904","19,051",,,,
,,化粧品・香水,"11,929","66,648","19,141","14,497","16,068",,,,
,,医薬品,"9,144","23,110","14,062","9,660","19,954",,,,
,,健康グッズ・トイレタリー,"10,510","23,296","14,140","11,574","10,973",,,,
,,衣類,"26,429","55,861","24,117","22,837","25,765",,,,
,,靴・かばん・革製品,"48,384","144,662","44,951","41,873","29,518",,,,
,,電気製品（デジタルカメラ／PC／家電等）,"27,175","106,047","42,279","45,603","46,499",,,,
,,時計・フィルムカメラ,"26,693","232,764","64,877","68,396","60,348",,,,
,,宝石・貴金属,"98,086","172,172","169,219","50,491","156,918",,,,
,,民芸品・伝統工芸品,"7,889","20,247","14,792","13,093","18,581",,,,
,,本･雑誌･ガイドブックなど,"6,112","16,768","11,054","10,765","8,721",,,,
,,音楽・映像・ゲームなどソフトウェア,"15,444","37,414","21,312","20,228","22,594",,,,
,,その他買物代,"17,970","147,434","33,348","26,427","24,144",,,,
,その他,,"94,698",-,"79,693","7,325","17,359",,,,
