　国籍･地域（21区分）別　１人１回当たり旅行消費単価,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2022年（令和4年）  暦年　【試算値】,,,,,,,,,,（単位）回答数：人、消費単価：円／人,,,,
調査項目,,,韓国,,中国,,東南アジア,,ヨーロッパ,,北米,,,
,,,人数,消費単価,人数,消費単価,人数,消費単価,人数,消費単価,人数,消費単価,,
,企業ミーティング,,395,"129,008",24,"404,140",331,"208,039",330,"272,848",407,"276,539",,
,研修,,35,"198,894",17,"312,555",307,"173,126",46,"273,624",68,"330,200",,
,その他ビジネス,,828,"195,525",325,"619,690","1,099","223,222","1,052","261,523","2,661","384,552",,
,トランジット,,4,"35,484",3,"32,681",346,"51,783",7,"42,203",172,"26,106",,
,その他,,49,"248,518",167,"160,379","1,553","78,703",25,"192,968",66,"997,453",,
日本滞在中に,ホテル（洋室中心）,,"3,003","116,254",519,"545,799","4,910","180,888","2,250","278,227","3,730","247,796",,
利用した,旅館（和室中心）,,253,"120,805",87,"565,278",539,"182,997",318,"343,004",391,"363,490",,
宿泊施設,自己所有の別荘・コンドミニアム,,24,"405,259",17,"1,154,265",36,"272,082",20,"300,416",34,"203,300",,
（複数回答）,学校の寮・会社所有の宿泊施設,,212,"528,434",148,"686,245",427,"257,554",125,"639,974",644,"450,740",,
【A1】,親族・知人宅,,484,"111,607",165,"359,731",656,"157,280",577,"237,070",920,"191,819",,
,ユースホステル・ゲストハウス,,57,"88,060",3,"894,762",37,"200,851",65,"265,440",53,"280,515",,
,カプセルホテル,,22,"96,605",1,"289,775",12,"192,325",20,"519,733",18,"300,338",,
,"有料での住宅宿泊（Airbnb, 途家,自在客など）",,132,"170,332",48,"791,215",129,"257,336",123,"599,714",195,"301,954",,
,その他,,184,"667,135",78,"1,224,463",943,"232,976",125,"597,095",539,"598,153",,
,宿泊せず,,2,"22,470",0,-,6,"17,184",0,-,10,"10,354",,
旅行手配方法,団体ツアーに参加,,283,"52,785",1,"80,822",514,"73,997",81,"181,797",75,"68,595",,
（単一回答）,個人旅行向けパッケージ商品を利用,,123,"72,355",0,-,191,"102,204",53,"101,143",60,"115,310",,
【A1】,個別手配,,"3,537","134,585",852,"577,286","5,430","199,868","2,633","292,111","5,174","244,048",,
