国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
アメリカ,北米,,,,,1,8983,0.167,1.117952088,0.156517867,10389,0.14,,,,2014,20771,0.178,1.220009749,0.262096192,26215,0.151,,,,11318,0.187,1.146438456,0.185986923,13423,0.16,,,,2.312256484,0.211085512,2.523341996,4月,220890,,,1.835218236,0.117772898,1.952991135
カナダ,北米,,,,,2,950,0.018,1.316683872,0.362105263,1294,0.017,,,,2014,2295,0.02,1.331412564,0.377342048,3161,0.018,,,,1285,0.021,1.183304292,0.224124514,1573,0.019,,,,2.415789474,0.027023509,2.442812983,4月,220890,,,1.785992218,0.223543701,2.009535919
北米小計,北米,,,,,3,9933,0.185,1.136958954,0.176180409,11683,0.156,,,,2014,23066,0.197,1.231094006,0.273562820,29376,0.169,,,,12603,0.208,1.150197291,0.189875426,14996,0.179,,,,2.322158462,0.192264204,2.514422665,4月,220890,,,1.830199159,0.128723220,1.958922379
メキシコ,中南米,,,,,4,238,0.004,2.055154161,1.126050420,506,0.007,,,,2014,537,0.005,2.511139080,1.597765363,1395,0.008,,,,313,0.005,1.896246877,0.961661342,614,0.007,,,,2.256302521,0.500614475,2.756916996,4月,220890,,,1.715654952,0.556332019,2.271986971
ブラジル,中南米,,,,,5,911,0.017,1.060029511,0.096597146,999,0.016,,,,2014,1992,0.017,1.498992359,0.550702811,3089,0.018,,,,1008,0.017,1.407785113,0.456349206,1468,0.018,,,,2.186608123,0.905483969,3.092092092,4月,220890,,,1.976190476,0.128032957,2.104223433
その他,中南米,,,,,6,672,0.013,0.750882659,-0.223214286,522,0.005,,,,2014,1487,0.013,0.575311622,-0.404841964,885,0.005,,,,764,0.013,0.549119942,-0.431937173,434,0.005,,,,2.212797619,-0.517395320,1.695402299,4月,220890,,,1.946335079,0.092835428,2.039170507
南米小計,中南米,,,,,7,1821,0.034,1.076005888,0.113124657,2027,0.029,,,,2014,4016,0.034,1.292321426,0.336902390,5369,0.031,,,,2085,0.034,1.166474965,0.206714628,2516,0.03,,,,2.205381658,0.443360325,2.648741983,4月,220890,,,1.926139089,0.207803678,2.133942766
イギリス,ヨーロッパ,,,,,8,2837,0.053,1.558843827,0.612618964,4575,0.059,,,,2014,6838,0.059,1.528861950,0.581602808,10815,0.062,,,,3608,0.06,1.333435327,0.379434590,4977,0.059,,,,2.410292563,-0.046358136,2.363934426,4月,220890,,,1.895232816,0.277762965,2.172995781
フランス,ヨーロッパ,,,,,9,2231,0.042,1.565883410,0.619901390,3614,0.047,,,,2014,5190,0.044,1.602149082,0.657418112,8602,0.049,,,,2748,0.045,1.419376647,0.468340611,4035,0.048,,,,2.326311071,0.053877086,2.380188157,4月,220890,,,1.888646288,0.243200056,2.131846344
ドイツ,ヨーロッパ,,,,,10,1922,0.036,1.103956564,0.142039542,2195,0.028,,,,2014,4221,0.036,1.243298284,0.286188107,5429,0.031,,,,2193,0.036,1.137239457,0.176470588,2580,0.031,,,,2.196149844,0.277198675,2.473348519,4月,220890,,,1.924760602,0.179502964,2.104263566
イタリア,ヨーロッパ,,,,,11,1390,0.026,1.707290961,0.766187050,2455,0.031,,,,2014,3352,0.029,1.689625024,0.747911695,5859,0.034,,,,1770,0.029,1.554291508,0.607909605,2846,0.034,,,,2.411510791,-0.024952747,2.386558045,4月,220890,,,1.893785311,0.164893537,2.058678848
オランダ,ヨーロッパ,,,,,12,205,0.004,2.268099277,1.346341463,481,0.006,,,,2014,541,0.005,2.067316347,1.138632163,1157,0.007,,,,326,0.005,1.954063441,1.021472393,659,0.008,,,,2.639024390,-0.233618985,2.405405405,4月,220890,,,1.659509202,0.096181238,1.755690440
スペイン,ヨーロッパ,,,,,13,664,0.012,2.607344107,1.697289157,1791,0.023,,,,2014,1548,0.013,2.650803792,1.742248062,4245,0.024,,,,821,0.014,2.420754780,1.504263094,2056,0.025,,,,2.331325301,0.038858953,2.370184255,4月,220890,,,1.885505481,0.179183235,2.064688716
スイス,ヨーロッパ,,,,,14,683,0.013,1.477578761,0.528550512,1044,0.015,,,,2014,1694,0.014,1.715324992,0.774498229,3006,0.017,,,,920,0.015,1.565558448,0.619565217,1490,0.018,,,,2.480234261,0.399076084,2.879310345,4月,220890,,,1.841304348,0.176145317,2.017449664
スウェーデン,ヨーロッパ,,,,,15,461,0.009,1.360863658,0.407809111,649,0.008,,,,2014,1163,0.01,1.501097412,0.552880482,1806,0.01,,,,658,0.011,1.382402704,0.430091185,941,0.011,,,,2.522776573,0.259966108,2.782742681,4月,220890,,,1.767477204,0.151757653,1.919234857
フィンランド,ヨーロッパ,,,,,16,162,0.003,1.802033139,0.864197531,302,0.004,,,,2014,430,0.004,1.766952746,0.827906977,786,0.005,,,,247,0.004,1.577171562,0.631578947,403,0.005,,,,2.654320988,-0.051671981,2.602649007,4月,220890,,,1.740890688,0.209481520,1.950372208
ロシア,ヨーロッパ,,,,,17,575,0.011,0.931349670,-0.036521739,554,0.009,,,,2014,1215,0.01,1.148050251,0.187654321,1443,0.008,,,,731,0.012,0.893923108,-0.075239398,676,0.008,,,,2.113043478,0.491649663,2.604693141,4月,220890,,,1.662106703,0.472508681,2.134615385
その他,ヨーロッパ,,,,,18,2770,0.052,1.521170676,0.573646209,4359,0.052,,,,2014,6483,0.055,1.464070815,0.514576585,9819,0.056,,,,3348,0.055,1.445649422,0.495519713,5007,0.06,,,,2.340433213,-0.087852346,2.252580867,4月,220890,,,1.936379928,0.024674595,1.961054524
ヨーロッパ小計,ヨーロッパ,,,,,19,13900,0.259,1.531276565,0.584100719,22019,0.281,,,,2014,32675,0.28,1.566969792,0.621025249,52967,0.304,,,,17370,0.287,1.428554768,0.477835348,25670,0.306,,,,2.350719424,0.054793996,2.405513420,4月,220890,,,1.881116868,0.182264511,2.063381379
中国,東アジア,,,,,20,2785,0.052,1.980511701,1.048833034,5706,0.07,,,,2014,5827,0.05,1.877899099,0.942680625,11320,0.065,,,,3145,0.052,1.733829128,0.793640700,5641,0.067,,,,2.092280072,-0.108403451,1.983876621,4月,220890,,,1.852782194,0.153954200,2.006736394
台湾,東アジア,,,,,21,8201,0.153,1.567909446,0.621997317,13302,0.162,,,,2014,14271,0.122,1.366428549,0.413565973,20173,0.116,,,,7016,0.116,1.340859782,0.387115165,9732,0.116,,,,1.740153640,-0.223614773,1.516538866,4月,220890,,,2.034064994,0.038787451,2.072852446
香港,東アジア,,,,,22,1547,0.029,1.461540159,0.511958630,2339,0.03,,,,2014,3224,0.028,1.526437085,0.579094293,5091,0.029,,,,1561,0.026,1.453386197,0.503523382,2347,0.028,,,,2.084033613,0.092537571,2.176571184,4月,220890,,,2.065342729,0.103809380,2.169152109
韓国,東アジア,,,,,23,1017,0.019,0.734732729,-0.239921337,773,0.009,,,,2014,2057,0.018,0.733096509,-0.241614001,1560,0.009,,,,1113,0.018,0.779055008,-0.194070081,897,0.011,,,,2.022615536,-0.004504281,2.018111255,4月,220890,,,1.848158131,-0.109027696,1.739130435
東アジア小計,東アジア,,,,,24,13550,0.253,1.578035149,0.632472325,22120,0.272,,,,2014,25379,0.217,1.452856005,0.502974901,38144,0.219,,,,12835,0.212,1.402118342,0.450486950,18617,0.222,,,,1.872988930,-0.148576633,1.724412297,4月,220890,,,1.977327620,0.071552436,2.048880056
フィリピン,東南アジア,,,,,25,405,0.008,1.518004075,0.570370370,636,0.008,,,,2014,855,0.007,1.686838689,0.745029240,1492,0.009,,,,367,0.006,1.656744075,0.713896458,629,0.008,,,,2.111111111,0.234800839,2.345911950,4月,220890,,,2.329700272,0.042318805,2.372019078
ベトナム,東南アジア,,,,,26,127,0.002,1.499454701,0.551181102,197,0.002,,,,2014,179,0.002,1.587687934,0.642458101,294,0.002,,,,99,0.002,1.493919104,0.545454545,153,0.002,,,,1.409448819,0.082936968,1.492385787,4月,220890,,,1.808080808,0.113487819,1.921568627
タイ,東南アジア,,,,,27,1018,0.019,1.518348730,0.570726916,1599,0.02,,,,2014,1905,0.016,1.511125584,0.563254593,2978,0.017,,,,991,0.016,1.379261456,0.426841574,1414,0.017,,,,1.871316306,-0.008902298,1.862414009,4月,220890,,,1.922300706,0.183781330,2.106082037
インドネシア,東南アジア,,,,,28,647,0.012,0.533377609,-0.448222566,357,0.005,,,,2014,1261,0.011,0.580298754,-0.399682791,757,0.004,,,,507,0.008,0.707353970,-0.268244576,371,0.004,,,,1.948995363,0.171452816,2.120448179,4月,220890,,,2.487179487,-0.446748220,2.040431267
マレーシア,東南アジア,,,,,29,369,0.007,2.596080369,1.685636856,991,0.012,,,,2014,728,0.006,2.714065703,1.807692308,2044,0.012,,,,345,0.006,2.485280256,1.571014493,887,0.011,,,,1.972899729,0.089663339,2.062563068,4月,220890,,,2.110144928,0.194251916,2.304396843
シンガポール,東南アジア,,,,,30,1001,0.019,1.242840263,0.285714286,1287,0.016,,,,2014,2193,0.019,1.217904116,0.259917921,2763,0.016,,,,1115,0.018,1.173855507,0.214349776,1354,0.016,,,,2.190809191,-0.043956044,2.146853147,4月,220890,,,1.966816143,0.073804241,2.040620384
インド,東南アジア,,,,,31,277,0.005,1.179526700,0.220216606,338,0.005,,,,2014,628,0.005,1.423812934,0.472929936,925,0.005,,,,338,0.006,1.244065944,0.286982249,435,0.005,,,,2.267148014,0.469538376,2.736686391,4月,220890,,,1.857988166,0.268448616,2.126436782
その他,東南アジア,,,,,32,824,0.015,1.031175316,0.066747573,879,0.01,,,,2014,1711,0.015,1.093205492,0.130917592,1935,0.011,,,,720,0.012,1.276788215,0.320833333,951,0.011,,,,2.076456311,0.124908877,2.201365188,4月,220890,,,2.376388889,-0.341688573,2.034700315
東南アジア小計,東南アジア,,,,,33,4668,0.087,1.301296237,0.346186804,6284,0.078,,,,2014,9460,0.081,1.347592691,0.394080338,13188,0.076,,,,4482,0.074,1.335888446,0.381972334,6194,0.074,,,,2.026563839,0.072099433,2.098663272,4月,220890,,,2.110664882,0.018492367,2.129157249
イスラエル,中東,,,,,34,1360,0.025,2.673934272,1.766176471,3762,0.045,,,,2014,2920,0.025,2.606985141,1.696917808,7875,0.045,,,,1082,0.018,2.528308237,1.615526802,2830,0.034,,,,2.147058824,-0.053757388,2.093301435,4月,220890,,,2.698706100,0.083979413,2.782685512
カタール,中東,,,,,35,7,0,2.485680527,1.571428571,18,0.001,,,,2014,14,0,6.214201317,5.428571429,90,0.001,,,,6,0,4.994376614,4.166666667,31,0,,,,2,3,5,4月,220890,,,2.333333333,0.569892473,2.903225806
UAE,中東,,,,,36,19,0,1.577171562,0.631578947,31,0.001,,,,2014,38,0,4.782391189,3.947368421,188,0.001,,,,27,0,2.327128888,1.407407407,65,0.001,,,,2,4.064516129,6.064516129,4月,220890,,,1.407407407,1.484900285,2.892307692
サウジアラビア,中東,,,,,37,4,0,3.383287383,2.5,14,0,,,,2014,8,0,4.833267691,4,40,0,,,,4,0,6.041584613,5.25,25,0,,,,2,0.857142857,2.857142857,4月,220890,,,2,-0.4,1.6
トルコ,中東,,,,,38,109,0.002,1.454414498,0.504587156,164,0.002,,,,2014,198,0.002,2.416633845,1.5,495,0.003,,,,116,0.002,2.158304020,1.232758621,259,0.003,,,,1.816513761,1.201778921,3.018292683,4月,220890,,,1.706896552,0.204300359,1.911196911
その他,中東,,,,,39,153,0.003,3.089500524,2.196078431,489,0.006,,,,2014,469,0.004,2.555757755,1.643923241,1240,0.007,,,,265,0.004,2.458582961,1.543396226,674,0.008,,,,3.065359477,-0.529572156,2.535787321,4月,220890,,,1.769811321,0.069951291,1.839762611
中東小計,中東,,,,,40,1652,0.031,2.620263041,1.710653753,4478,0.055,,,,2014,3647,0.031,2.631460468,1.722237455,9928,0.057,,,,1500,0.025,2.502988228,1.589333333,3884,0.046,,,,2.207627119,0.009434069,2.217061188,4月,220890,,,2.431333333,0.124794370,2.556127703
オーストラリア,オセアニア,,,,,41,4582,0.085,1.359686175,0.406591008,6445,0.08,,,,2014,10785,0.092,1.393200055,0.441261011,15544,0.089,,,,5289,0.087,1.371664739,0.418982794,7505,0.09,,,,2.353775644,0.058016443,2.411792087,4月,220890,,,2.039137833,0.032014732,2.071152565
ニュージーランド,オセアニア,,,,,42,159,0.003,2.012341642,1.081761006,331,0.004,,,,2014,367,0.003,2.294155945,1.373297003,871,0.005,,,,194,0.003,2.247220339,1.324742268,451,0.005,,,,2.308176101,0.323243839,2.631419940,4月,220890,,,1.891752577,0.039511281,1.931263858
その他,オセアニア,,,,,43,93,0.002,0.498917955,-0.483870968,48,0.001,,,,2014,270,0.002,1.385536738,0.433333333,387,0.002,,,,150,0.002,1.398425452,0.446666667,217,0.003,,,,2.903225806,5.159274194,8.0625,4月,220890,,,1.8,-0.016589862,1.783410138
オセアニア小計,オセアニア,,,,,44,4834,0.09,1.364593245,0.411667356,6824,0.085,,,,2014,11422,0.098,1.421967497,0.471020837,16802,0.097,,,,5633,0.093,1.402531398,0.450914255,8173,0.098,,,,2.362846504,0.099345759,2.462192263,4月,220890,,,2.027693946,0.028099520,2.055793466
アフリカ,アフリカ,,,,,45,75,0.001,1.559534375,0.613333333,121,0.001,,,,2014,182,0.002,1.630563935,0.686813187,307,0.002,,,,111,0.002,1.410791650,0.459459459,162,0.002,,,,2.426666667,0.110523416,2.537190083,4月,220890,,,1.639639640,0.255422089,1.895061728
海外その他,海外その他,,,,,46,3198,0.06,1.077888217,0.115071920,3566,0.043,,,,2014,6989,0.06,1.099293507,0.137215625,7948,0.046,,,,3864,0.064,0.895605504,-0.073498965,3580,0.043,,,,2.185428393,0.043399426,2.228827818,4月,220890,,,1.808747412,0.411364320,2.220111732
海外合計,海外合計,,,,,47,53631,,1.426107312,0.475303463,79122,0,,,,2014,116836,,1.439845156,0.489515218,174029,0,,,,60483,,1.339183461,0.385381016,83792,0,,,,2.178516157,0.020985878,2.199502035,4月,220890,,,1.931716350,0.145200301,2.076916651
国内合計,国内合計,,,,,48,159819,,0.897011951,-0.072044000,148305,0,,,,2014,259681,,0.929737849,-0.038189163,249764,0,,,,142987,,0.875712240,-0.094078483,129535,0,,,,1.624844355,0.059279579,1.684123934,4月,220890,,,1.816116150,0.112042262,1.928158413
合　　計,合　　計,,,,,49,213450,,1.029951343,0.065481377,227427,0,,,,2014,376517,,1.088027905,0.125561396,423793,0,,,,203470,,1.013482574,0.048444488,213327,0,,,,1.763958773,0.099465535,1.863424308,4月,220890,,,1.850479186,0.136109478,1.986588664
アメリカ,北米,,,,,1,8673,0.19,1.042781731,0.061455091,9206,0.158,,,,2014,19457,0.205,1.105202432,0.124993576,21889,0.176,,,,10430,0.217,1.061810433,0.080824545,11273,0.182,,,,2.243399055,0.134289410,2.377688464,5月,231973,,,1.865484180,0.076234972,1.941719152
カナダ,北米,,,,,2,886,0.019,0.985734209,0.003386005,889,0.016,,,,2014,1996,0.021,1.085275119,0.104709419,2205,0.018,,,,999,0.021,1.065012630,0.084084084,1083,0.017,,,,2.252821670,0.227493290,2.480314961,5月,231973,,,1.997997998,0.038013082,2.036011080
北米小計,北米,,,,,3,9559,0.209,1.037494137,0.056072811,10095,0.174,,,,2014,21453,0.226,1.103348383,0.123106325,24094,0.194,,,,11429,0.238,1.062090334,0.081109458,12356,0.2,,,,2.244272413,0.142453689,2.386726102,5月,231973,,,1.877067110,0.072916704,1.949983814
メキシコ,中南米,,,,,4,338,0.007,0.869053029,-0.115384615,299,0.005,,,,2014,729,0.008,0.951412739,-0.031550069,706,0.006,,,,379,0.008,0.933157778,-0.050131926,360,0.006,,,,2.156804734,0.204399280,2.361204013,5月,231973,,,1.923482850,0.037628262,1.961111111
ブラジル,中南米,,,,,5,335,0.007,1.750738627,0.782089552,597,0.011,,,,2014,716,0.008,2.059488919,1.096368715,1501,0.012,,,,377,0.008,2.011720955,1.047745358,772,0.012,,,,2.137313433,0.376924423,2.514237856,5月,231973,,,1.899204244,0.045096274,1.944300518
その他,中南米,,,,,6,442,0.01,0.706800162,-0.280542986,318,0.005,,,,2014,1047,0.011,0.593948538,-0.395415473,633,0.005,,,,556,0.012,0.583083750,-0.406474820,330,0.005,,,,2.368778281,-0.378212243,1.990566038,5月,231973,,,1.883093525,0.035088293,1.918181818
南米小計,中南米,,,,,7,1115,0.024,1.069635009,0.088789238,1214,0.021,,,,2014,2492,0.026,1.119597943,0.139646870,2840,0.023,,,,1312,0.027,1.094725734,0.114329268,1462,0.024,,,,2.234977578,0.104396392,2.339373970,5月,231973,,,1.899390244,0.043154216,1.942544460
イギリス,ヨーロッパ,,,,,8,1560,0.034,1.477390150,0.503846154,2346,0.041,,,,2014,3497,0.037,1.580224112,0.608521590,5625,0.045,,,,1911,0.04,1.381334214,0.406070120,2687,0.043,,,,2.241666667,0.156031543,2.397698210,5月,231973,,,1.829931973,0.263480755,2.093412728
フランス,ヨーロッパ,,,,,9,2131,0.047,1.107340905,0.127170343,2402,0.041,,,,2014,4952,0.052,1.132387634,0.152665590,5708,0.046,,,,2548,0.053,1.092292472,0.111852433,2833,0.046,,,,2.323791647,0.052561392,2.376353039,5月,231973,,,1.943485086,0.071340187,2.014825274
ドイツ,ヨーロッパ,,,,,10,1425,0.031,0.651491470,-0.336842105,945,0.018,,,,2014,3334,0.035,0.744319746,-0.242351530,2526,0.02,,,,1724,0.036,0.788091618,-0.197795824,1383,0.022,,,,2.339649123,0.333366750,2.673015873,5月,231973,,,1.933874710,-0.107410502,1.826464208
イタリア,ヨーロッパ,,,,,11,1057,0.023,1.348603290,0.372753075,1451,0.024,,,,2014,2410,0.025,1.395345147,0.420331950,3423,0.028,,,,1272,0.026,1.373208348,0.397798742,1778,0.029,,,,2.280037843,0.079024872,2.359062715,5月,231973,,,1.894654088,0.030542762,1.925196850
オランダ,ヨーロッパ,,,,,12,240,0.005,0.961940944,-0.020833333,235,0.005,,,,2014,646,0.007,1.438634292,0.464396285,946,0.008,,,,332,0.007,1.541670028,0.569277108,521,0.008,,,,2.691666667,1.333865248,4.025531915,5月,231973,,,1.945783133,-0.130044169,1.815738964
スペイン,ヨーロッパ,,,,,13,888,0.019,2.561119361,1.606981982,2315,0.039,,,,2014,1996,0.021,2.792184014,1.842184369,5673,0.046,,,,1034,0.022,2.723948823,1.772727273,2867,0.046,,,,2.247747748,0.202792209,2.450539957,5月,231973,,,1.930367505,0.048355899,1.978723404
スイス,ヨーロッパ,,,,,14,704,0.015,0.640518704,-0.348011364,459,0.009,,,,2014,1540,0.016,0.769340112,-0.216883117,1206,0.01,,,,741,0.015,0.821987610,-0.163292848,620,0.01,,,,2.1875,0.439950980,2.627450980,5月,231973,,,2.078272605,-0.133111314,1.945161290
スウェーデン,ヨーロッパ,,,,,15,278,0.006,0.558346863,-0.431654676,158,0.003,,,,2014,738,0.008,0.677568504,-0.310298103,509,0.004,,,,414,0.009,0.590868443,-0.398550725,249,0.004,,,,2.654676259,0.566842728,3.221518987,5月,231973,,,1.782608696,0.261568011,2.044176707
フィンランド,ヨーロッパ,,,,,16,65,0.001,1.466054675,0.492307692,97,0.002,,,,2014,163,0.002,1.283759849,0.306748466,213,0.002,,,,95,0.002,1.240936133,0.263157895,120,0.002,,,,2.507692308,-0.311816019,2.195876289,5月,231973,,,1.715789474,0.059210526,1.775
ロシア,ヨーロッパ,,,,,17,599,0.013,0.974207373,-0.008347245,594,0.011,,,,2014,1260,0.013,1.137565825,0.157936508,1459,0.012,,,,697,0.015,1.107851519,0.127690100,786,0.013,,,,2.103505843,0.352723113,2.456228956,5月,231973,,,1.807747489,0.048486607,1.856234097
その他,ヨーロッパ,,,,,18,2333,0.051,1.217798233,0.239605658,2892,0.042,,,,2014,5083,0.054,1.088708043,0.108203817,5633,0.045,,,,2332,0.049,1.185882452,0.207118353,2815,0.045,,,,2.178739820,-0.230952821,1.947786999,5月,231973,,,2.179674099,-0.178608380,2.001065719
ヨーロッパ小計,ヨーロッパ,,,,,19,11280,0.247,1.210068580,0.231737589,13894,0.234,,,,2014,25619,0.27,1.262416420,0.285022835,32921,0.265,,,,13100,0.273,1.249307716,0.271679389,16659,0.269,,,,2.271187943,0.098252103,2.369440046,5月,231973,,,1.955648855,0.020520183,1.976169038
中国,東アジア,,,,,20,2841,0.062,1.804711778,0.837029215,5219,0.082,,,,2014,5774,0.061,1.712492938,0.743158989,10065,0.081,,,,3055,0.064,1.674756032,0.704746318,5208,0.084,,,,2.032382964,-0.103852594,1.928530370,5月,231973,,,1.890016367,0.042587320,1.932603687
台湾,東アジア,,,,,21,8177,0.179,1.772947474,0.804696099,14757,0.24,,,,2014,13642,0.144,1.612885711,0.641768069,22397,0.18,,,,6217,0.129,1.621597001,0.650635355,10262,0.166,,,,1.668338021,-0.150617617,1.517720404,5月,231973,,,2.194305935,-0.011787908,2.182518028
香港,東アジア,,,,,22,1633,0.036,1.189958710,0.211267606,1978,0.032,,,,2014,3054,0.032,1.214016677,0.235756385,3774,0.03,,,,1405,0.029,1.228534132,0.250533808,1757,0.028,,,,1.870177587,0.037810279,1.907987867,5月,231973,,,2.173665480,-0.025685970,2.147979511
韓国,東アジア,,,,,23,1292,0.028,1.018905894,0.037151703,1340,0.021,,,,2014,2399,0.025,1.117135641,0.137140475,2728,0.022,,,,1378,0.029,1.105030513,0.124818578,1550,0.025,,,,1.856811146,0.179009750,2.035820896,5月,231973,,,1.740928882,0.019071118,1.76
東アジア小計,東アジア,,,,,24,13943,0.305,1.641268496,0.670659112,23294,0.375,,,,2014,24869,0.262,1.539206901,0.566769874,38964,0.314,,,,12055,0.251,1.530209103,0.557610950,18777,0.303,,,,1.783619020,-0.110913603,1.672705418,5月,231973,,,2.062961427,0.012130441,2.075091868
フィリピン,東南アジア,,,,,25,390,0.009,1.050420618,0.069230769,417,0.007,,,,2014,594,0.006,1.399186827,0.424242424,846,0.007,,,,388,0.008,0.974811836,-0.007731959,385,0.006,,,,1.523076923,0.505700055,2.028776978,5月,231973,,,1.530927835,0.666474762,2.197402597
ベトナム,東南アジア,,,,,26,99,0.002,0.625168582,-0.363636364,63,0.001,,,,2014,117,0.001,1.024391010,0.042735043,122,0.001,,,,61,0.001,1.030722908,0.049180328,64,0.001,,,,1.181818182,0.754689755,1.936507937,5月,231973,,,1.918032787,-0.011782787,1.90625
タイ,東南アジア,,,,,27,707,0.015,1.535446376,0.562942008,1105,0.017,,,,2014,1222,0.013,1.419748057,0.445171849,1766,0.014,,,,586,0.012,1.498758615,0.525597270,894,0.014,,,,1.728429986,-0.130239941,1.598190045,5月,231973,,,2.085324232,-0.109932733,1.975391499
インドネシア,東南アジア,,,,,28,317,0.007,1.754078230,0.785488959,566,0.009,,,,2014,556,0.006,1.726281283,0.757194245,977,0.008,,,,256,0.005,1.815151860,0.84765625,473,0.008,,,,1.753943218,-0.027794808,1.726148410,5月,231973,,,2.171875,-0.106335888,2.065539112
マレーシア,東南アジア,,,,,29,588,0.013,1.597248010,0.625850340,956,0.014,,,,2014,1287,0.014,1.306060371,0.329448329,1711,0.014,,,,574,0.012,1.446227469,0.472125436,845,0.014,,,,2.188775510,-0.399026556,1.789748954,5月,231973,,,2.242160279,-0.217308208,2.024852071
シンガポール,東南アジア,,,,,30,833,0.018,1.096805796,0.116446579,930,0.015,,,,2014,1812,0.019,1.027407687,0.045805740,1895,0.015,,,,837,0.017,1.028183045,0.046594982,876,0.014,,,,2.175270108,-0.137635699,2.037634409,5月,231973,,,2.164874552,-0.001632543,2.163242009
インド,東南アジア,,,,,31,313,0.007,1.440655487,0.466453674,459,0.008,,,,2014,625,0.007,1.527840567,0.5552,972,0.008,,,,321,0.007,1.502686031,0.529595016,491,0.008,,,,1.996805112,0.120841947,2.117647059,5月,231973,,,1.947040498,0.032592903,1.979633401
その他,東南アジア,,,,,32,403,0.009,0.802015278,-0.183622829,329,0.006,,,,2014,767,0.008,1.000339596,0.018252934,781,0.006,,,,361,0.008,1.145688842,0.166204986,421,0.007,,,,1.903225806,0.470634376,2.373860182,5月,231973,,,2.124653740,-0.269546851,1.855106888
東南アジア小計,東南アジア,,,,,33,3650,0.08,1.298662329,0.321917808,4825,0.077,,,,2014,6980,0.074,1.276567119,0.299426934,9070,0.073,,,,3384,0.07,1.291587523,0.314716312,4449,0.072,,,,1.912328767,-0.032536021,1.879792746,5月,231973,,,2.062647754,-0.023987381,2.038660373
イスラエル,中東,,,,,34,257,0.006,2.985449300,2.038910506,781,0.013,,,,2014,519,0.005,3.178155394,2.235067437,1679,0.014,,,,205,0.004,2.707611665,1.756097561,565,0.009,,,,2.019455253,0.130352686,2.149807939,5月,231973,,,2.531707317,0.439974099,2.971681416
カタール,中東,,,,,35,1,0,3.929631088,3,4,0,,,,2014,2,0,24.560194302,24,50,0,,,,2,0,10.806485493,10,22,0,,,,2,10.5,12.5,5月,231973,,,1,1.272727273,2.272727273
UAE,中東,,,,,36,32,0.001,0.675405343,-0.3125,22,0,,,,2014,59,0.001,0.666039168,-0.322033898,40,0,,,,30,0.001,0.785926218,-0.2,24,0,,,,1.84375,-0.025568182,1.818181818,5月,231973,,,1.966666667,-0.3,1.666666667
サウジアラビア,中東,,,,,37,18,0,0.764094934,-0.222222222,14,0,,,,2014,38,0,0.930702100,-0.052631579,36,0,,,,19,0,1.602875839,0.631578947,31,0.001,,,,2.111111111,0.460317460,2.571428571,5月,231973,,,2,-0.838709677,1.161290323
トルコ,中東,,,,,38,188,0.004,0.700226816,-0.287234043,134,0.002,,,,2014,434,0.005,0.280687935,-0.714285714,124,0.001,,,,399,0.008,0.251141836,-0.744360902,102,0.002,,,,2.308510638,-1.383137504,0.925373134,5月,231973,,,1.087719298,0.127966976,1.215686275
その他,中東,,,,,39,75,0.002,1.925519233,0.96,147,0.003,,,,2014,212,0.002,1.802625582,0.834905660,389,0.003,,,,133,0.003,1.913109872,0.947368421,259,0.004,,,,2.826666667,-0.180408163,2.646258503,5月,231973,,,1.593984962,-0.092054460,1.501930502
中東小計,中東,,,,,40,571,0.012,1.895995385,0.929947461,1102,0.019,,,,2014,1264,0.013,1.801599063,0.833860759,2318,0.019,,,,788,0.016,1.250450502,0.272842640,1003,0.016,,,,2.213660245,-0.110211969,2.103448276,5月,231973,,,1.604060914,0.707005886,2.311066800
オーストラリア,オセアニア,,,,,41,2676,0.059,1.250403913,0.272795217,3406,0.056,,,,2014,6083,0.064,1.283767776,0.306756535,7949,0.064,,,,2847,0.059,1.342313394,0.366350544,3890,0.063,,,,2.273168909,0.060653757,2.333822666,5月,231973,,,2.136635054,-0.093190324,2.043444730
