国,地域,推定泊数_2019年,推定泊数_2019年差,部屋あたり人数_2019年,部屋あたり人数_2019年差,#,実人数 前年,実人数 前年 構成比,実人数 前年伸率 (客室数補正あり）,実人数 前年伸率 (客室数補正なし）,実人数 当年,実人数 当年 構成比,実人数_2019年,実人数_2019年伸率 （客室数補正あり）,実人数_2019年伸率 （客室数補正なし）,年,延べ人数 前年,延べ人数 前年 構成比,延べ人数 前年伸率 (客室数補正あり）,延べ人数 前年伸率 (客室数補正なし）,延べ人数 当年,延べ人数 当年 構成比,延べ人数_2019年,延べ人数_2019年伸率 （客室数補正あり）,延べ人数_2019年伸率 （客室数補正なし）,延べ部屋数 前年,延べ部屋数 前年 構成比,延べ部屋数 前年伸率 (客室数補正あり）,延べ部屋数 前年伸率 (客室数補正なし）,延べ部屋数 当年,延べ部屋数 当年 構成比,延べ部屋数_2019年,延べ部屋数_2019年伸率 （客室数補正あり）,延べ部屋数_2019年伸率 （客室数補正なし）,推定泊数 前年,推定泊数 前年差,推定泊数 当年,月,総客室数 (Sheet1),総客室数_2019年 (Sheet1),総客室数_前年 (Sheet1),部屋あたり人数_前年,部屋あたり人数_前年差,部屋あたり人数_当年
東アジア小計,東アジア,0.83,1.36,1.99,(0.02),24,104837,0.481,-0.081,-0.07,97461,0.407,78729,-0.174944343,0.237930115,2025,215461,0.422,-0.02,-0.008,213731,0.366,144174,-0.011975558,0.482451760,108825,0.439,-0.011,0.001,108926,0.386,72597,0,0.500420128,2.055199977,0.137790039,2.192990017,6月,544149,372823,537687,1.979885137,-0.017718161,1.962166976
韓国,東アジア,0.75,1.28,1.89,(0.05),23,13215,0.061,-0.167,-0.157,11146,0.047,6818,-0.162371662,0.634790261,2025,24255,0.047,-0.074,-0.063,22727,0.039,11960,-0.026355865,0.900250836,12141,0.049,0.006,0.018,12362,0.044,6334,0,0.951689296,1.835414302,0.203613152,2.039027454,6月,544149,372823,537687,1.99777613,-0.15931957,1.83845656
香港,東アジア,0.97,1.51,2.03,(0.06),22,6279,0.029,-0.618,-0.613,2428,0.01,4846,-0.228325974,-0.498968221,2025,14280,0.028,-0.583,-0.578,6032,0.01,9558,-0.028007494,-0.368905629,7124,0.029,-0.575,-0.57,3062,0.011,4716,0,-0.35072095,2.274247492,0.210101767,2.484349259,6月,544149,372823,537687,2.004491859,-0.034537580,1.969954278
その他,東南アジア,0.77,1.29,1.76,0.30,32,1143,0.005,0.404,0.421,1624,0.007,864,0.006944444,0.879629630,2025,2638,0.005,0.254,0.269,3348,0.006,1529,0.173035597,1.189666449,1358,0.005,0.182,0.196,1624,0.006,870,0,0.866666667,2.307961505,-0.246385150,2.061576355,6月,544149,372823,537687,1.942562592,0.119013763,2.061576355
インド,東南アジア,1.15,1.31,2.04,0.21,31,2249,0.01,1.096,1.121,4771,0.02,980,-0.038634987,3.868367347,2025,5775,0.011,1.008,1.033,11738,0.02,2105,0.101151252,4.576247031,2670,0.011,0.932,0.955,5221,0.018,1031,0,4.064015519,2.567807915,-0.107527051,2.460280864,6月,544149,372823,537687,2.162921348,0.085306960,2.248228309
インドネシア,東南アジア,0.74,1.62,2.19,0.16,28,2179,0.01,0.064,0.077,2346,0.01,3584,-0.209448061,-0.345424107,2025,4612,0.009,0.186,0.2,5536,0.009,6233,0.072677956,-0.111824162,1970,0.008,0.181,0.195,2354,0.008,2843,0,-0.172001407,2.116567233,0.243194063,2.359761296,6月,544149,372823,537687,2.341116751,0.010624965,2.351741716
シンガポール,東南アジア,1.25,1.54,2.19,0.06,30,4546,0.021,-0.056,-0.044,4345,0.018,3472,-0.168661232,0.251440092,2025,12522,0.025,-0.045,-0.033,12108,0.021,7813,0.029491007,0.549724818,5559,0.022,-0.046,-0.035,5365,0.019,3564,0,0.505331089,2.754509459,0.032141864,2.786651323,6月,544149,372823,537687,2.252563411,0.004286543,2.256849953
タイ,東南アジア,0.95,1.22,1.84,0.04,27,1605,0.007,0.113,0.126,1808,0.008,722,-0.084605495,1.504155125,2025,3264,0.006,0.189,0.204,3929,0.007,1407,0.020786702,1.79246624,1577,0.006,0.31,0.325,2090,0.007,764,0,1.735602094,2.03364486,0.139474609,2.173119469,6月,544149,372823,537687,2.069752695,-0.189848389,1.879904306
フィリピン,東南アジア,0.81,1.93,2.11,0.15,25,783,0.004,0.341,0.358,1063,0.004,530,-0.293125119,1.005660377,2025,2066,0.004,0.395,0.412,2917,0.005,959,0.072020219,2.041710115,945,0.004,0.35,0.366,1291,0.005,455,0,1.837362637,2.638569604,0.105550810,2.744120414,6月,544149,372823,537687,2.186243386,0.073245382,2.259488768
ベトナム,東南アジア,0.76,1.26,1.88,0.13,26,566,0.003,-0.253,-0.244,428,0.002,270,-0.067321275,0.585185185,2025,1128,0.002,-0.242,-0.233,865,0.001,476,0.069205589,0.817226891,548,0.002,-0.225,-0.215,430,0.002,253,0,0.699604743,1.992932862,0.028095175,2.021028037,6月,544149,372823,537687,2.058394161,-0.046766254,2.011627907
マレーシア,東南アジア,0.76,1.63,2.05,0.16,29,1311,0.006,-0.047,-0.035,1265,0.005,975,-0.205806222,0.297435897,2025,2837,0.006,0.055,0.068,3030,0.005,1719,0.078964914,0.762652705,1379,0.006,-0.019,-0.007,1369,0.005,838,0,0.633651551,2.163996949,0.231259968,2.395256917,6月,544149,372823,537687,2.05728789,0.156006486,2.213294375
東南アジア小計,東南アジア,0.95,1.51,2.09,0.11,33,14382,0.066,0.213,0.227,17650,0.074,11397,-0.167159684,0.548653154,2025,34842,0.068,0.233,0.248,43471,0.074,22241,0.051121451,0.954543411,16006,0.065,0.219,0.234,19744,0.07,10618,0,0.859483895,2.422611598,0.040334578,2.462946176,6月,544149,372823,537687,2.176808697,0.024923475,2.201732172
