year,month,month_date,region_code,count_china,count_korea,count_north_america,count_southeast_asia,count_europe,count_domestic,count_overseas,foreign_total,foreign_hhi,foreign_entropy,foreign_entropy_norm,foreign_top1_share,foreign_top1_market,foreign_active_market_count,foreign_share_china,foreign_share_korea,foreign_share_north_america,foreign_share_southeast_asia,foreign_share_europe,all_total,all_hhi,all_entropy,all_entropy_norm,all_top1_share,all_top1_market,all_active_market_count,all_share_china,all_share_korea,all_share_north_america,all_share_southeast_asia,all_share_europe,all_share_japan,known_foreign_to_overseas_ratio,data_quality_known_foreign_le_overseas
2025,7,2025-07-01,上京区,7240,575,4128,750,3644,14652,19711,16337.0,0.3133406022143274,1.3021464471561441,0.8090690775307939,0.4431658199179776,china,5,0.4431658199179776,0.03519618044928689,0.2526779702515762,0.0459080614555916,0.22305196792556772,30989.0,0.3106376340054505,1.3781429435813821,0.7691562217193854,0.47281293362160765,japan,6,0.2336312885217335,0.018554971118784083,0.13320855787537514,0.024202136241892283,0.11759011262060731,0.47281293362160765,0.8288265435543605,True
2025,7,2025-07-01,下京区,21370,1798,12065,2203,10080,46660,58538,47516.0,0.31532594430635463,1.3026556131913918,0.8093854401759845,0.4497432443808401,china,5,0.4497432443808401,0.037839885512248504,0.2539144709150602,0.04636333024665376,0.2121390689451974,94176.0,0.3257470269389698,1.3503538342167976,0.7536468244806159,0.49545531770302415,japan,6,0.22691556235134216,0.01909191301393136,0.12811119605844376,0.023392371729527694,0.10703363914373089,0.49545531770302415,0.8117120502921179,True
2025,7,2025-07-01,中京区,12882,1158,8457,1528,6595,30180,37027,30620.0,0.30358498498908476,1.3237509731626194,0.8224927242832186,0.4207054212932724,china,5,0.4207054212932724,0.037818419333768775,0.2761920313520575,0.04990202482037884,0.21538210320052253,60800.0,0.32339339129587946,1.3597863693605872,0.758911222579683,0.4963815789473684,japan,6,0.211875,0.019046052631578946,0.1390953947368421,0.02513157894736842,0.1084703947368421,0.4963815789473684,0.826964107273071,True
2025,7,2025-07-01,伏見区,4337,367,2458,466,2205,9466,11769,9833.0,0.3109510747514614,1.3100884458042885,0.8140037187411112,0.4410657988406387,china,5,0.4410657988406387,0.03732329909488457,0.2499745754093359,0.047391436997864335,0.2242448896572765,19299.0,0.3213046284124462,1.3604672460611458,0.759291227101636,0.4904917353230737,japan,6,0.22472666977563605,0.01901652935385253,0.1273641121301622,0.02414632882532774,0.11425462459194777,0.4904917353230737,0.8355000424844932,True
2025,7,2025-07-01,北区,2035,158,1185,184,1080,4743,5838,4642.0,0.3142109926395585,1.2923387604654346,0.8029752191626407,0.43838862559241704,china,5,0.43838862559241704,0.034037052994398964,0.25527789745799223,0.03963808703145196,0.23265833692373977,9385.0,0.33228098091213804,1.3323046703800099,0.7435733943429402,0.5053809270111881,japan,6,0.21683537559936067,0.016835375599360682,0.1262653169952051,0.019605753862546618,0.11507725093233884,0.5053809270111881,0.7951353203151764,True
2025,7,2025-07-01,南区,13532,1107,7612,1396,6890,29243,37028,30537.0,0.3128164236346923,1.3041815565371473,0.8103335620848612,0.4431345580770868,china,5,0.4431345580770868,0.036251105216622455,0.24927137570815733,0.045715034220781346,0.22562792677735208,59780.0,0.32092048618996766,1.3591188452161922,0.7585386702612167,0.4891769822683172,japan,6,0.22636333221813315,0.018517898962863835,0.12733355637336902,0.023352291736366677,0.11525593844095015,0.4891769822683172,0.8247002268553527,True
2025,7,2025-07-01,右京区,2942,236,1477,293,1408,5959,7993,6356.0,0.32082444361625573,1.2936945703497145,0.803817631208365,0.4628697293895532,china,5,0.4628697293895532,0.037130270610446825,0.23237885462555066,0.046098174952800504,0.22152297042164884,12315.0,0.31960194310632933,1.360327246670444,0.7592130919539746,0.4838814453917986,japan,6,0.2388956557044255,0.019163621599675194,0.11993503857084856,0.023792123426715387,0.11433211530653674,0.4838814453917986,0.7951957963217816,True
2025,7,2025-07-01,山科区,421,33,292,43,286,1093,1300,1075.0,0.3004772309356409,1.3091079911289114,0.8133945279995471,0.3916279069767442,china,5,0.3916279069767442,0.030697674418604652,0.27162790697674416,0.04,0.266046511627907,2168.0,0.32804564208003706,1.3422322203928982,0.7491140655007522,0.5041512915129152,japan,6,0.19418819188191883,0.01522140221402214,0.13468634686346864,0.019833948339483393,0.13191881918819187,0.5041512915129152,0.8269230769230769,True
2025,7,2025-07-01,左京区,4272,347,2201,448,2198,9248,11660,9466.0,0.31523523043696283,1.302881011760579,0.8095254881812202,0.45129938728079444,china,5,0.45129938728079444,0.036657511092330446,0.23251637439256287,0.04732727656877245,0.23219945066553982,18714.0,0.3248650033192867,1.3521084867494528,0.754626114704996,0.4941754835951694,japan,6,0.2282782943251042,0.018542267820882762,0.11761248263332265,0.023939296783156996,0.117452174842364,0.4941754835951694,0.8118353344768439,True
2025,7,2025-07-01,東山区,18717,1543,9808,2079,10335,40726,52425,42482.0,0.31031859094861064,1.311521136142289,0.8148938992985169,0.44058660138411565,china,5,0.44058660138411565,0.03632126547714326,0.23087425262464104,0.04893837389953392,0.24327950661456618,83208.0,0.32044811259994277,1.362524048724465,0.7604391505247533,0.4894481299875012,japan,6,0.22494231323911162,0.018543890010575905,0.11787328141524854,0.024985578309777906,0.12420680703778483,0.4894481299875012,0.8103385789222699,True
2025,7,2025-07-01,西京区,954,72,538,85,436,1991,2537,2085.0,0.3225195383261736,1.2812107608997043,0.7960610042806883,0.45755395683453237,china,5,0.45755395683453237,0.034532374100719423,0.2580335731414868,0.0407673860911271,0.20911270983213429,4076.0,0.3229937613219294,1.3482601429217294,0.7524783131201206,0.4884690873405299,japan,6,0.2340529931305201,0.017664376840039256,0.13199214916584887,0.02085377821393523,0.1069676153091266,0.4884690873405299,0.8218368151359874,True
