country_profile_key,country_label_ja,source_group,is_active
korea,韓国,nationality,True
china,中国,nationality,True
southeast_asia,東南アジア,nationality,True
europe,ヨーロッパ,nationality,True
north_america,北米,nationality,True
japan,日本,japan_special,True
